Cores,Time
1,56.767
2,25.696
3,17.791
4,13.877
5,14.192
6,13.119
7,12.029
8,11.253
9,12.420
10,7.633
11,6.648
12,6.839
13,6.547
14,6.132
15,6.018
16,5.733
17,5.023
18,5.483
19,5.385
20,5.189
21,6.675
22,7.500
23,7.352
24,7.451
25,4.532
26,5.324
27,5.327
28,4.652
29,5.164
30,5.777
31,7.008
32,5.121
33,3.958
34,4.356
35,4.573
36,4.325
37,4.341
38,4.850
39,4.365
40,4.049
41,3.744
42,4.132
43,4.149
44,4.003
45,4.088
46,3.988
47,4.203
48,4.465
